Column1;Column2
brand;generic
ETHYOL;AMIFOSTINA
Reopro;Abciximabe
Verzenios;Abemaciclibe
Calquence;Acalabrutinibe
Acebrofilina;Acebrofilina
Advantan;Aceponato de metilprednisolona
Acetato de Clostebol + Sulfato de Neomicina;Acetato de clostebol + Sulfato de neomicina
Sayana;Acetato de medroxiprogesterona
Cyclofemina;Acetato de medroxiprogesterona + Cipionato de estradiol
PREMARIN MPA;Acetato de medroxiprogesterona + Estrogênios conjugados
Fluimucil;Acetilcisteína
HERPESINE;Aciclovir
Deriva Micro;Adapaleno
Epiduo;Adapaleno + Peróxido de benzoíla
Adenon;Adenosina
BROMALGINA Gotas;Adifenina + Dipirona + Prometazina
;Aesculus hippocastanum
Giotrif;Afatinibe
Replagal;Agalsidase alfa
Fabrazyme;Agalsidase beta
Ascarizole;Albendazol
Lastacaft;Alcaftadina
PROLEUKIN;Aldesleucina
Alecensa;Alectinibe
Lemtrada;Alemtuzumabe
Boneprev;Alendronato de Sódio
Osteoduo Fos;Alendronato de sódio + Colecalciferol
Alfaepoetina;Alfaepoetina
Gaviscon;Alginato de sódio + Bicarbonato de sódio + Carbonato de cálcio
Myozyme;Alglucosidase alfa
Praluent;Alirocumabe
RASILEZ;Alisquireno
Nesina Met;Alogliptina + Metformina
Nesina Pio;Alogliptina + Pioglitazona
Piqray;Alpelisibe
Actilyse;Alteplase
Volibris;Ambrisentana
AMIRETIC;Amilorida + Hidroclorotiazida
Asmapen;Aminofilina
Aminoven 10% Infant;Aminoácidos
Limbitrol;Amitriptilina + Clordiazepóxido
Rybrevant;Amivantamabe
Policlavumoxil;Amoxicilina + Clavulanato de potássio
Unasyn;Ampicilina + Sulbactam
AGENERASE;Amprenavir
Agrylin;Anagrelida
HIPOFAGIN S 75 .;Anfepramona
Amlovasc;Anlodipino
Glucantime;Antimoniato de meglumina
ANTITROMBINA III IMMUNO;Antitrombina III
Erleada;Apalutamida
Argix;Arginina
TAURARGIN;Arginina + Taurina
Pomada de Arnica;Arnica montana
Artesunato + Mefloquina Farmanguinhos;Artesunato + Mefloquina
Articaine;Articaína
Saphris;Asenapina
Strensiq;Asfotase Alfa
ELSPAR;Asparaginase
Atenorese;Atenolol + Clortalidona
NIFELAT 10/25 mg e 20/50 mg;Atenolol + Nifedipino
Atentah;Atomoxetina
Tracrium;Atracúrio
ATROPINA 0,5% - 1%;Atropina
LOMOTIL;Atropina + Difenoxilato
Inlyta;Axitinibe
Vidaza;Azacitidina
Rino-Lastin;Azelastina
Dymista;Azelastina + Fluticasona
AZACTAM;Aztreonam
Neotricin;Bacitracina + Neomicina
Sulfato de Neomicina + Bacitracina;Bacitracina + Sulfato de Neomicina
BAMBEC;Bambuterol
Olumiant;Baricitinibe
Simulect;Basiliximabe
Fostair DPI;Beclometasona + Formoterol
Trimbow;Beclometasona + Formoterol + Glicopirrônio
LOTENSIN;Benazepril
LOTENSIN H;Benazepril + Hidroclorotiazida
Ribomustin;Bendamustina
Dopabane;Benserazida + Levodopa
LONGACILIN;Benzilpenicilina benzatina
Furp-Benzilpenicilina Procaína + Benzilpenicilina Potássica;Benzilpenicilina potássica + Benzilpenicilina procaína
Benzin;Benzoato de benzila
Cepacaína;Benzocaína + Cloreto de Cetilpiridínio
Survanta;Beractanto
Besivance;Besifloxacino
Besilato De Atracúrio;Besilato de Atracúrio
Besilato de Cisatracúrio;Besilato de Cisatracúrio
FDC Betacaroteno;Betacaroteno
Betaserc;Betaistina
Daivobet Pomada;Betametasona + Calcipotriol
Celestamine;Betametasona + Dexclorfeniramina
GENTACORT OCULUM;Betametasona + Gentamicina
Betoptic S;Betaxolol
Cedur Retard;Bezafibrato
